Country,Nodes,Edges,Giant_Comp_Size,Giant_Comp_Percent,Is_Connected,Avg_Degree,Global_Clustering,Assortativity
AT,258,708,255,98.84,FALSE,5.488,0.8527,0.8905
BE,540,1037,446,82.59,FALSE,3.841,0.8207,0.9055
CHLI,152,1567,151,99.34,FALSE,20.618,0.9224,0.7712
CZ,207,4259,207,100,TRUE,41.15,0.981,0.9087
DE,1102,5056,1093,99.18,FALSE,9.176,0.8408,0.8346
DK,179,239,107,59.78,FALSE,2.67,0.4015,0.6115
EE,31,35,31,100,TRUE,2.258,0.3273,0.4134
ES,200,3182,175,87.5,FALSE,31.82,0.9824,0.8158
EU,8124,72409,6223,76.6,FALSE,17.826,0.9785,0.974
FI,167,222,166,99.4,FALSE,2.659,0.3288,0.5413
FR,614,26628,614,100,TRUE,86.736,0.9891,0.8236
GB,707,6673,697,98.59,FALSE,18.877,0.9522,0.8972
GE,44,58,42,95.45,FALSE,2.636,0.5137,0.3876
GR,361,390,317,87.81,FALSE,2.161,0.2279,0.6566
HU,136,1147,136,100,TRUE,16.868,0.8681,0.7169
IE,77,92,77,100,TRUE,2.39,0.3137,0.4178
